"extent","zone","EPL","RLE","type","get","realm","RLE_EPL"
9.7845713104048,"Kelp forests","PP","VU","Kf2","M1.2","marine","VU_PP"
2838.07730038375,"Canyons","NP","EN","SoB1","M3.2","marine","EN_NP"
33.7339338998445,"Rocky shores","PP","EN","SHc3","MT1.1","marine","EN_PP"
473.609909867424,"Photic rocky reefs","PP","VU","Cpe2","M1.6","marine","VU_PP"
3904.94948298784,"Mesophotic and sub-photic rocky shelves","PP","VU","Cpe3","M1.5","marine","VU_PP"
526.200650557555,"Sandy shelves","PP","NT","Cpe4","M1.7","marine","NT_PP"
1.48131661842756,"Rocky shores","NP","EN","SHc4","MT1.1","marine","EN_NP"
2394.81872120074,"Canyons","PP","EN","SoB2","M3.2","marine","EN_PP"
0.523550143900107,"Rocky shores","MP","LC","SHc5","MT1.1","marine","LC_MP"
2452.94266352652,"Mesophotic and sub-photic rocky shelves","MP","LC","Ags11","M1.5","marine","LC_MP"
505.477531383285,"Mesophotic and sub-photic rocky shelves","MP","VU","SoB3","M1.5","marine","VU_MP"
